species,reason
otherdog,"I have always thought that being a lone wolf in real life was a similar attribute to the said animal. I also have a strong compassion with friends, and am very loyal, like a dog."
wolf,Always liked wolves.
othercanine,No
otherdog,"I love the symbolism associated with dogs (kindness, fidelity and loyalty) even if in fact it isn't always true. And I like the strong personality dogs have."
redfox,similar traits in actions and personality
coyote,Species native to the area I grew up in. Have an affinity for canines.
redfox,"I've always had a weird attraction for foxes, I think it's some kind of crossed wire in by brain."
other,Because I give my fursonas personalities based off of myself.
husky,"I have a connection with huskies. I have hazel eyes and some of them do too, I usually look after several of them too so I get on well with them and they get on well with me."
wolf,"An extrapolation of ""lone wolf,"" due to a very introverted childhood."
germanshepherd,German Shepherds are my favorite breed of dog and I love horses.
wolf,"I dunno really, there is just something majestic about wolves."
deer,"Foxes, Deer, and Cats, have always been extremely special animals to me.  Each have elegance and beauty in a different way, and have traits that I wish, mentally, I could get more clearly into my head.  I would not say I chose these animals to represent me, but that they represent me so well, it's as if they chose me."
otherfeline,"Since i was little, i always had cat like tendencies. "
horse,There are attributes I personally like about the choosen animals.
dragon,Rabbits are social and dragons are jacks of all traits. My fursona is a combination of the two in order to encompass all of me.
lizard,They are my totem animals fused into one being.
redfox,"Foxes are on the smaller side, and their bodies are sleek with long limbs. I have a similar body type. They are usually portrayed as being sly, crafty, intelligent  and deceiving. I like to think that I have those qualities as well. I also just flat out love foxes!"
lion,"Attributes seem fitting, and I often feel that my responses to certain life situations reflect the behaviour of lions, even though I take my own spin on it and don't conform entirely to the general ""lion"" stereotype."
wolf,I've always been attached to wolves. Any dog I owned was as close to a wolf as possible and I always wanted shirts with wolves as a kid. I have artwork of wolves around my home and I always feel at peace when I look at them. I've always been loyal to my family and would most certainly defend them in any situation. I adopt people into my family when it comes to furries because I want to protect them as well. From physical threats and from the threats that words can hold.
riverotter,"I personally just like Otters. The inspiration is somewhat from the Buizel-Pokemon, but I've completely abandoned interest and moved on. I sometimes view myself as Sona-less."
othercanine,"Personal connection what identifies with me and the person I strive to become

"
raven,see here: www.codinghorror.com/blog/2008/01/the-magpie-developer.html
deer,I identify with it because it matches my personality the way they act. Also the body type is similar. All of these if it were anthromorphic.
skunk,"I found a correlation between a skunk's living habits and my own personal habits. They have no noticable cry/howl, and I really don't voice my opinions. They are a type of animal that stay away from most other animals, and it reflects my social fears of being put down and insulted. "
wolf,"Habitat, appearance"
raptor,I'm a fan of the Philadelphia Eagles football team and I think the eagle is a very powerful and majestic bird-of-prey.
kitsune,"Always rather been attracted to foxes, identify with intelligence and cunning, but shy."
cheetah,"Not in so many words.  I've just always identified with cats, and cheetahs have been my favorite for ages."
wolf,"I just like what wolves look like. They have a neat appearance, interesting social structure, and are present in many superstitions and other folklore."
dinosaur,"I've switched between animals a few times, but dinosaur just felt right. Haven't switched since."
wolf,Spiritual connection-therian/otherkin
arcticfox,Always been in love with the way wolves never leave each other behind and used teamwork. Loved arctic foxes since I can remember
brownbear,"Brown Bears because they're relatively solitary, not overly social. Wolves because they just look all noble and deep and stuff (even though they actually aren't). Huskies because they're fluffy and cuddly and like to sing.
I stopped strongly identifying with Bears around age 17 as I became more social, but still identify slightly as I do need my alone time to recharge."
bat,"there not many bat furs they can fly, night time , glowing eyes great hirghtins and are for the most part outcasts like i am"
dragon,I always liked dragons
riverotter,"The American Bison is my fursona , but is also spiritually significant to me within my tribe's community.  Bald Eagle is the manitou of my father and, thus for me, in our tribe, as well.  Many other animals I chose are helpers to me within spiritual activities with my elders and myself."
othermustelid,"The natural curiosity, and the attraction to random shinies."
domesticcat,"I have identified with cats my entire life, when i was a kid i would follow around our pet on all fours and pretend to be one.
As i got older i started to admire how they seem aloof but would also come to lay on my lap when i was sad, or how they can be extremely protective and arent afraid to fight.
I also started to admire how they look, incredibly sleek and streamlined, almost like a sports car."
dragon,"Simply liked since a child, which evolved as I aged."
horse,Behavior
skunk,I have always been a fan of cartoon/anthro skunks. 
otherfox,The fact that my real name means 'Fox'/'FoxHunter'.
domesticcat,No
tiger,Animals I admire most. 
redfox,"because of similar traits and traits I admire: being sly, cunning, smart, cute, manipulative, observing, theatrical, feisty, sexy, sleek, aesthetic, handsome, cheeky and witty"
redfox,I really don't know I've just been a fan of wolves all y life
riverotter,i love otters a lot and their [general] personality i find parts of mine in
wolf,I have 2 fursona's. One is a wolf and one is a fox. No hybrid. I like both animals equally and right now my wolf sona is used more than my fox because my fox sona is still under development.
dragon,"I admire the dragon's traits of majesty, courage and strength. I also yearn for it's ability to fly, which gives it so much freedom"
redfox,One does not choose what they are--they simple are.
coyote,"They are independent, loyal and "
otherfeline,"I identify as Sholan-a feline like alien species from the Sholan Alliance series.  That species feels right for me, and the planet's society makes sense, and is how people should treat and act towards each other.  So I feel that I am one of those aliens, just without the fur."
wolf,"Maned wolf! They're just very... Unusual, and i dig how they look. According to a couple websites, theyre also very representative of certain qualities i have."
greyfox,"The Gray Fox is the species of fox that resides in my region. I have always admired their abilities to climb, hunt, and their beautiful coloration."
wolf,"Yes, too long to write here though."
wolf,No.
wolf,"I find wolves really cool, i feel more alive when i howl (well, attempt to howl), i love meat (mainly raw/rare beef)."
rat,"I had been using an internet handle with ""Rat"" in it for a long time before considering myself a furry. I just went with it and I imagine it fits my personality."
husky,They are beautiful animals and I just like them
tiger,"Those are my spirit animals, and I mixed them all into one creature, the Isiyata (often called the Rolf). Every single one of these animals has somehow been a part of my life, and I love all of them equally."
riverotter,cause i like those as my forms x3
wolf,Bc it's awesome 
redfox,"The reason why I identify myself with the fox is because, I was a reserved person, and I wasn't much of a talker. I came to the fandom in a way to have a sense of belonging when I was in a Domestic Violence situation, and in a way it helped me to survive. The fox has many traits that I once had to have for my survival. 1. Stealth, 2. a strong mind, 3. a balanced and strong heart."
othermustelid,"Based off a Pokemon, just have a strong affinity towards it."
griffin,Otherkin/interest
germanshepherd,"Yes,I generally base a particular animal with a personality trait that suits it that I find fits a piece of how I would describe myself."
othercanine,"Quick wit and trickery of a fox, coldness of a wolf."
skunk,I like how big and fluffy there tails are I like there smell my personality matches them and I like there fur
squirrel,"Long story short, old nickname, enjoyed being a small kid and climbing and the idea of gliding to everywhere so I'm mostly flying squirrel, though I also love swimming and the idea of echolocation, thus dolphin/bat and lastly I'd love to be able to jump high and land safely(rabbit/roo).  "
wolf,I have always identified with wolves and as a wolf therian I felt it was natural my fursona would also be a wolf.
bat,"It is what i see myself as. A mixture of bear, bat, and dragon"
polarbear,"I generally try and have a big personality, as well as cuddly and caring. Bear sums that up well."
arcticfox,"When I first discovered the furry fandom it was on a personal artists website by the name of Frank something. But I time I thought a fursona meant we had to think of a furry character we would want as our ideal mate, in which I chose an arctic fox from that artist's work. Over time I have grown, changed, and have come to really appreciate all candids, though that might be because dogs have helped me conquer my social anxiety. Also their sleek body and flowing movement really goes with my tall lieth frame and body language. "
domesticcat,I like cats.
arcticfox,"Not a clue, just feels right for some reason."
wolf,Loved wolves since I was 7 and acted like one ( and think I am one ) before I knew about the fandom
domesticcat,Cats are cute and cool yo.
dragon,"I have always been fascinated by Dragons, and see traits in them with myself."
husky,Always had the feeling of being partly canine. After looking up typical traits for different breeds decided that a husky would be the best fit for me.
raven,Yes.
othercanine,"Maned wolves visually pull in traits from both wolves and foxes. In terms of personality though they aren't as pack centric as wolves, which I feel applies more to me."
otherdog,I found it to be most appealing to me.
wolf,"I like the concept of ""lone wolf"".  I think it really pertains to my personality.  I also like how wolves are frequently portrayed: noble, strong, brave.  Besides that, though, I just like wolves.  I feel like a wolf most often as well.  I do identify myself with other animals' traits frequently, but the wolf is most resilient, I think."
kitsune,"i identify with wolfs, foxes and dogs for qualities like loyalty,  a pack of friends of family. their physical  looks."
otherfeline,"I identify myself as two: Margay (feline) and Black panther, there was originally a more spiritual connection to them, but it's less important thesedays.

The third 'main' fursona is a representation of how I would physically look like as an animal/anthro, she is a cat. Created cause others did not accept that I see myself as two."
otherfox,nope
dragon,Like dragons and panthers
redfox,Traditionally assumed characteristics of the fox match my personality.
deer,"I'm a hybrid of a wolfpup/microdeer, as I have characteristics of chaotic, but playful aggression, and at other times, I'm slightly silly and clumsy.  "
othercanine,"The animals I chose I find interesting or a part of my life. Like, used to have a German shepherd I really loved and a domestic cat that I also love."
wolf,"After studying through several animals systematically, by choosing a personality trait in myself and seeing what animals best display those traits; i have come to strongly identify with wolves and wolf communities. I feel like i already exhibit a lot of their social behavior and i feel like i can still learn from them."
wolf,I have wolf-like traits and have always loved wolves.
rabbit,"the rabbit is shy, very sexual, full of energy and delicate
"
pandabear,Hard to explain
deer,"they are quiet and attentive like me, and i just like them in general."
arcticfox,It's pretty.
redfox,"it has my personality
"
wolf,"Mostly for the aesthetic aspect, but I like the very knowledgeable characteristics of wolves and dragons"
redfox,"I haven't had a favorite animal before, but when I began wanting my own fursona I did some deep thinking. Which animal should I be? A rabbit was the first, but after a while I changed it to a fox. Permanently to a fox. Since then, the fox has been my favorite animal."
coyote,I sometimes feel like a coyote
wolf,strong dependable
wolf,"this is the way i feel i am inside, a hunter, a killer. alone"
hyaena,well im kinda a living garbage disposal and a few outher reasons 
tiger,"The nobility, power, and might that are symbolized with tigers are characteristics I hold important upon myself."
jackal,A combination of aesthetic appeal and the personality traits associated with said animal in folklore and pop culture.
otherungulate,I have always loved horses/zebras 0.0
snowleopard,"The reason i chose feline, snow leopard is because there is not that many in the fandom unlike say the wolf or fox, their natural exotic looks, and my love of snow and winter, so i chose the snow leopard to stand out a little."
germanshepherd,Theres alot really. To much to put into words
rabbit,"My personality, and love for bunnies.  I am very timid and shy, and tend to be submissive.  Also very caring person."
rat,"The behavior and demeanor fits my own, and I like the way they look.  If I had to live a life as an animal, I would find life as a rat the most preferable to human life."
wolf,I know this does seem repetitive but all I can say is look at actual wolf habitat. It's all about family and working equally as a working society and following one leader rather than having to be either a left wing or a right wing. To me that's equality and therefor that's how I feel seeing myself as that. 
kitsune,"It's my soul animal, and I've always been into Kitsune"
otherfeline,"It seems to suit me, like we are one and the same.
"
wolf,"I'm attracted to anthropomorphic cartoon canines, primarily wolves"
wolf,"I have found that I share several ""personality"" traits with the general behavior of wolves and I think they are beautiful and spiritually strong beings."
redfox,I love them
husky,Not shore I just do
otherfox,Those animals are some of my favorites.  They seem cunning and brave.
wolf,They are common where I live and are very friendly to nearby humans.
raptor,Amateur birdwatcher
horse,I sexually fantasize about horses most
polarbear,Because I fucking love polar bears. have you seen those motherfuckers? Cute as hell.
wolf,Spiritual animal totem
wolf,I feel as though their attribute align with my own.
polarbear,"Otherkin, dreams, character"
horse,Social/attitude attributes shared.
horse,"A Wolf/Dog mutt is my primary ""Fursona"" I identify with him simply from my love of dogs and admiration for the Canine social system and loyalty."
horse,"It is a highly sexual creature, both in terms of genital dimensions and in the libertine way they mate among their herd.  They are beautiful and muscular, and have been symbols of masculinity and sexuality for centuries.  "
wolf,"Not really, I just associate a lot of my personality traits with a wolf's behavioral patterns."
otherfeline,"abillity to sorta purr naturally
"
mouse,Close to physical ability of myself RL. 
greyfox,Personality traits 
otherbird,"Birds are intelligent,  can fly,  and are cutely judgemental. "
wolf,I do not identify as human but as a Wolf
wolf,"Spiritual connection, in a way. Native thinking."
otherdog,Yes. I believe I show similar characteristics as to that of a beagle.
arcticfox,Similar traits and relative psychology. 
otherfox,I have a strong connection to whatnot symbolizes
domesticcat,I suspect it is due to the number of cats I have been around growing up. My family has always had at least two and sometimes up to around ten. The few traits that I have that I consider to be non-human are from cats (scent-marking by rubbing against and some of my assorted pleased/irritated noises).
otherfox,"I have the personality of a cat and a dog at the same time. I have extremely high energy while in the woods and love holes, forts that sort of thing. Foxes are also my favorite animals."
husky,just always came natural to me heck i accidentally mew and whimper sometimes
hyaena,"Yes, the first time I saw the Hyena I saw this hunchbacked giggling little lunatic on discovery channel, that fits me very well I think. Also despite it's apperance its actually very strong and in charge of it's life even if other creatures can just shove it aside. They say Hyena is the true boss of the Savannah but you'd never believe it without proof, much of what I do goes unnoticed and people tend to drop chores on me because they know I'll do them well while they go off and have fun. (Not joking missed out on a family vacation because the family needed someone to stay home and by unspoken agreement they unpacked my stuff without asking me and drove off. More than once.)
Thats why I like the Hyena akward but not alone and still laughing even if it's completely unappropriate"
otherfox,"I like the nature of the fox, I concur with most of the habits of the fox."
lizard,"A mental extension and a way of messaging who I am forth, partially in metaphorical means."
tiger,"I do not know, something about saber-tooth tigers really resonates with me. It had stuck in my head since seeing the first Ice Age movie. When I commissioned an image of a saber-tooth tiger anthro, I found myself identifying with the character and adopting it as my fursona."
raptor,Possibly the overall design. The wolf is possibly the only one I feel an emotional connection to
rabbit,I simply have an affinity to bunnies.
germanshepherd,They say it fits me the most. And I like them.
snowleopard,"I love the cold, I love snow, I love being outdoors, I'm OK being alone, and I love cats of all kinds. Although come to think of it, I also like water and swimming, so maybe some tiger too."
tiger,"Fierce protectors, hunters, strong females."
otherdog,"Because I needed a sona, that's about it."
wolf,Past experience/family heritage
horse,Not really!
dragon,Hard to put into words.. I've just always from a young age been drawn to dragons :3
redfox,"If I was going to relate my personality to an animal, the chosen animal would be the best fitting, not perfect, but close."
greyfox,"I chose a fox on qualities of character, and because I love them, I want them to be. (Actually I'm not gray fox, I'm a mixture of gray and red fox - it's called Krestovka) "
germanshepherd,They are badasses 
otherbird,"Dragon because they are my Spirit Animal, and Harpies (which I do consider to be Avians) because of their mischievous personalities, and Gryphons because of their loyalty."
germanshepherd,Volunteer for local GSD Rescue as well as other local Animal Rescue shelter since age of 7.
kitsune,"I've always liked foxes. I grew up with cats, and among canids, foxes have many catlike traits. I read a lot about foxes in Japanese folklore at one point, and I feel a certain resonance with folkloric descriptions of clever tricksters."
otherbear,Being a Person of Extremes. Other than that? probably teh fact that i like friendly and nice gameplay even when playing against someone. In other words being a Carebear.
domesticcat,Because I feel connected to them. And people are always saying that I act like one.
otherfeline,"I am a cat person, and jaguars have always been my favorite animal."
wolf,have always felt a connection to Wolves and their lives.
panther,"One, I've always thought these creatures are the intelligent ones of the furry fandom. I love knowledge and the hunt for it. I love the fiercness they give off. Even though I'm shy I can relate that if I'm forced I can defend myself."
greyfox,"I created this ""fursona"" in seventh grade, being into Sonic and StarFox at the time.  The color gray represents my depressing outlook on life at the time. (which I have obviously gotten over).  I consider ""GrayFox"" a true, original symbol of myself."
brownbear,Spiritual.
kangaroo,I like them.
redfox,"Some I admire because of their appearance or they're lifestyle or place in the ecosystem, Others because I think they're sexy. "
kangaroo,"The traits of loyalty, obedience, devotion, unconditional love and selflessness are often attributed to dogs in literature and media - it's a highly commendable description. And the furry fandom allows creative minds to think up their own breeds which would be impossible witness in real biological life."
otherfox,Because that is who I am.
griffin,i love cats and griffons
koala,Koalas are my favorite animal since I was little. So of course I'd identify with something I'm most comfortable with.
rabbit,"Art someone made for me, I find it very special and I hold it to my heart."
otherfox,"I identify with huskies because I LOVE huskies, I always have ever since I was little. Loved the movie Balto, loved any show, cartoon, movie with huskies or wolves, and it wasn't until after I created my fursona and was already a member of the fandom that I realized that I had the energy and bounciness of a husky and people said it fit me. 

Also because if I ever were to be an animal, I'd want to be a husky. Around people, a pet, and constantly having fun and being a curious little derp."
wolf,I identify with Wolves because I am a wolf therian and spiritually/mentally identify as a wolf
wolf,"I always have had a fasincation about wolves, and i think they are a majestic and beautiful creature. "
hyaena,"I am a striped hyena, striped hyenas are fierce, monogamous, have regular lady parts, and aren't dogs! 

"
brownbear,because of my large stocky build and my short temper and my strenght
raccoon,I'm curious and somewhat mysterious like a raccoon
otherfeline,"Always felt an affinity with cats and feel I have 'catty' traits.I used to visit the Caracal at our local zoo and even as a kid I knew she was more special than the other animals, at least to me. I just wanted to jump in there with her and do cat stuff. Giant ears and big paws would be nice too!"
otherfox,As a kid under ten years of age and after reading a book on vermin mammals it just felt right and made me happy.
cheetah,"Yes, one that initially seemed odd yet fitting.  I could never place why, and still have trouble doing so.  But, it fits, and it's me."
riverotter,N/A
horse,"Dragon form was inspired by my Scottish heritage.
Horse form was inspired by well known NSFW artist, Gideon Hoss.
Wolf was grabbed from my love of wild canines.
Gecko (lizard) was inspired by the need to have a form that could fit in a normal space such as a car or a restaurant booth."
wolf,"I feel that there is a trust in their eyes, and trust is the most important aspect of my life."
dragon,"Felt that the commonly (and some not so commonly) accepted behavioral traits of dragons in mythology were similar to my own, i.e generally reclusive, protective, being largely independent etc."
othermustelid,"Long-term interest, knowledge of spirit animals and totems, admiration.  "
raccoon,"Intelligence, creativity, tenacity"
coyote,"Coyote is one of my Medicines, and thus, I have chosen such medicine to represent myself in the fandom. Coyote people make a lot of mistakes, and in order for them to learn, make mistakes over and over again. They also enjoy pulling tricks and pranks on people, as per the personality of Coyote that most people are aware of- the trickster, always losing his battles. A good stories to read would be Navajo Coyote Tales, which teach through Coyote’s constant failures to best all the other animals. Coyote medicine also teaches people to laugh at themselves, and not take yourself too seriously. All of these things I have poured into her being. 


. I follow the Good Red Road- a lifestyle and spirituality that, for me, is rooted in Oglala-Lakota traditions and culture, ceremonies, prayer, and things of that nature- and thus, so does my character."
lion,"The lion represents in human culture strength and courage which I certainly need.  But in a way I feel a true part of my ""soul"" is a lion.  Yet I'm not fully a Therian (or such)."
raven,Crows have spiritual significance. Dog because I do puppy play. Griffin because they're an easy way to combine a bird and a dog.
otherdog,"I chose a Labrador some time ago as my fursona animal due to it's ability to work, it's great with kids, it's sporty, fun, and enjoys others' company."
othermustelid,"The Pine marten is a clever, hardy, and quick creature. Omnivorous, fun, flexible, and athletic."
redfox,I love red foxes and the art I look at including them I find very attractive
squirrel,"Partly that they're small, nimble, and cute, but also that they're primarily woodland critters. It's always been a wish of mine to live in a forest one day."
squirrel,Find them attractive.
dragon,"Furona is an eastern dragon, because I liek the strength and power of dragons, bt the  behavior and mythology behind the eastern drgaon appeals more to me than that of westernd rgaons. "
pandabear,"I'm bear shaped, I have sex about once a decade - panda just seemed obvious!"
wolf,because sometimes i feel like a lone wolf and no one ever supports me in what i do and i feel negected and just hunted for my things and nothing else
snowleopard,"I identify with wolves because since I was young I've always had a deep fascination with wolves. The teamwork, family feeling, the midnight howls, the connectivity and trust they have for each other. The gracefulness of the pack. I just love them and for a very long time acted like I was one. I'd sleep with my dog in her crate, lap water from the same bowl(I was little though, remember this) and believed in my heart that I had been a wolf in my past life. When I came to grow older and found that I had a deep laziness and cat-like nature to me, I couldn't part with who I had once been and made myself a Snolf. I just allowed my fursona to evolve like I had into something better but still the same. :)"
wolf,"It is my spirit animal, as well as a personal liking to the animal (wolf)"
cougar,"It is beautiful, it has characteristics I admire and desire to have as a human.  It is a predator."
redfox,I identify with it because of my personality. 
horse,I like horses.
grizzlybear,"Bear- They are loveable, and scary at the time. 

Hyena- They laugh alot, and , well, to be honest my fursona was originally a full hyena xD

Baphomet- Originally a symbol of Duel types. My fursona is both good and evil, God and Satan, Female with male appearance, ect"
tiger,"I'm a Leo star sign, & in the chinese zodiac, I'm the tiger. I've been told that I have feline qualities. I've always felt a connection 2 animals, & I am an animal lover, but my fave pets have been cats.I've also have had  a facination w/ big cats in general. "
othermusteloid,"belcause i feel the wolf is part of me and who i am i feel a storng conetion
"
dragon,"Dragons are often said t ospeak in riddles, and I don't often give straight answers for some reason. Wolves are close and social with their family, and I'm the same with what I consider family. Hooves we're just added for aesthetic purposes."
tiger,I love Tigers!
wolf,I've always identified with wolves.
pandabear,"Bears are mostly solitary beast but they often enjoy company, they are big Mammals and full of energy, beautiful creatures"
greyfox,"My dragon character was my first character, and served as a defense mechanism. He was strong both physically and emotionally during my teenage and early adulthood years. As I matured and met my boyfriend, I no longer needed that kind of strength. My fox character came into existence at this point and is now my primary fursona. He more closely resembles my strong will, but is able to be more sympathetic and submissive if I need him to be."
dragon,I'm Dragon otherkin. 
redfox,No other reason than the red fox is by far my favorite animal. 
wolf,It fits me
lion,They are regal and prideful. They protect their kin and defend them at all cost.
riverotter,Because of the personality and bodytype similarities between myself and an otter.
redfox,"I chose a fox because they are often shy with strangers but extreme intelligent and mischievous. They are also single minded. I also associate with the raccoon because the way they treat their food is similar to myself, try are also intelligent, with a knack for puzzles and remembering things. They are well known to become aggressive when they or family are in danger."
pandabear,"I chose the wolf & bat as a hybrid because I have been connected spiritually to wolves all my life & I wanted to make a hybrid that has similar attributes as the wolf & me, so i choose the bat because all 3 of us have common factors, we have bad vision, but great hearing,smell & taste. As for my panda choice, I made him as a second character because I have also had a love of bears & I chose the bear that i believe represents with me most "
dragon,It depends on my mood for what  furry I am.
redfox,Felt a connection between various cartoon depictions of the animal.
wolf,I absolutely love wolves and always have been close to them in a way
cougar,"I wanted a cat that was both large and a great instrumental symbol of my personal intense pride with America. It fit me as I am a somewhat larger man, but not so much so that I am the tallest in the room. I can be both bigger and smaller, a man at ease with physical challenge, and still with enough challenge to make it interesting. I saw cougar as also beneficial as I am all about underused species of cats. This also has shown many benefits with artists as they enjoy how easy it is to color a 4 color animal color markings. "
dragon,"Strong love for the freedom, the mystery, and the power wolves and dragons possess. "
rabbit,"I've always loved foxes and when I found out about japanese fox legends it lead me to the furry fandom. rabbit was selected because it's also part of my fursona
"
redfox,Wolves and foxes are my favorite animal personally.
otherdog,"I always found sharks and canines to be an attractive species(that attractiveness in many aspects [biological, sexual, ect.]. They are likely my favorite animals and I enjoy drawing them as well."
grizzlybear,"The bear is content by itself, and therefore doesn't need to be in a pack whether it chooses to or not. Bears are of strong mind, soul, heart, and doesn't care if it's chubby. They protect those that they love, those that are special and cherished. They are honourable creatures. Plus... they hibernate, which is pretty cool."
collie,I am a Fogolf Fox/Dog/Wolf with blue fur and a brown tail. This has been me since I can remember. He feels part of me.
dragon,"1)  Feline, Lion:  I chose that as my fursona when I was going through a bought of depression, I associated with the historical roles of power and bravery.

2) Reptiloid, Dragon:  Dragons are awesome, also from a mythological standpoint they are very interesting.

3)Bird, Raven/Crow:  My most recent change in fursona, again influenced by another bought of depression.  I came to identify with ravens because of their quirky behavior, using their intellect to create opportunities, something I desperately wanted to be able to do again.  I still identify with ravens even though the depression has passed."
otherfox,"personality wise, it suits me"
raccoon,"Dragon- I love dragons very much,plus see myself as a protector of others,and strongly want to keep them safe and loved.
Raccoon- They represent my more vulnerable side,fluffy and cuddly too,and also deals with my nocturnal nature and love of stealth."
tiger,"No special reason, just loved the animal when I first joined, but as I grew within the fandom I saw that my traits fit with my character - strong, fierce, etc."
redfox,Sly and skeptical
wolf,"Most attributes of the wolf, particularly the Arctic Wolf, I admire.  Also, I am a fan of winter, snow, and cold; therefore an arctic animal fits for me
"
domesticcat,No.
husky,"I've always loved animals, my favorite dog has always been a husky. Something about there eyes just mesmerize me. "
kangaroo,"Bears are strong and cuddly at once.
Kangaroos are alternative"
wolf,"I have chosen Canine, Wolf as my answer due to some inspirations from old movies and cartoons, drawings from artists, etc, as well as my interest in wolf pack mentality and roles. "
jackal,A deep psychological love/desire to be
leopard,"Fits with my personality, I have certain feline traits as a human."
othercanine,My spirit guides 
redfox,Fox character identifies well with me.
snowleopard,"I have always liked the snow leopard, long before I was introduced to furry fandom."
raven,They seem to haver certain behaviour patterns I do
hyaena,"I chose the raccoon, for it's curiosity and tendency to get into things and usually break them. I chose the bear, as it's powerful nature inspires me to be more ambitious. I chose the deer, for it's serenity, the calmness it invokes. I chose the hyena because of it's cackle when it breaths, and I found that trait humorous, that even when it is serious it is still laughing.          "
lion,"Sloth : my laziness and my occasional slowness
Lion : my haircut and my passion loving side (drama, epic stories, romantism, etc)"
domesticcat,"I feel akin to a cat's behaviour and their reactions with others

and just really like cats they're p. great."
domesticcat,"yes, with a cat"
husky,"Yes, a lot. I'm loyal and other aspects of it.
And also, it's the same animal of a webcomic that made me enter the fandom.
If not Husky i'd probably be an Australian Sheperd."
collie,I see myself as having a high amount of energy and the love of being active like a collie.
otherungulate,No. Mooses are cool beans.
wolf,We are much alike
domesticcat,"Cats - a simple aesthetic like for them.
Babirusa - an analogy for my artistic and creative drive."
othercanine,"Dog, because iv been often described by others as having the same mannerisms as a dog and i get along well with them. 

I dont actually have a ""fursona"" but i have a Pony OC, im more on the brony side of things but i also enjoy the furry fandom, kinda think of them them one in the same. "
otherfeline,just fits
arcticfox,"They are cute, wild, and like me."
redfox,I have the tendancey to sneak around like a fox
collie,I like how shaggy border collies are. I think it's pretty funny.
domesticcat,"1) I value Intelligence , curiosity and freedom of thought. 
2) I rather be by myself most of the time.
3) I'm not good at showing emotions.

As such I relate better to felines."
otherfox,I feel that it spiritually fits me.
wolf,"Always liked wolves since I was very young, liked werewolf stories and art when I was a teenager and feel that I am a bit of a lone wolf in my life, hence the identification with wolves."
domesticcat,It's probably having grown up with 'em.
polarbear,"I find them interesting and in many ways awesome and admirable, because of their biological adaptations to the dire enviroment they live in, as well as their natural beauty and cultural importance."
othercanine,"I discovered that my name means fox, and i just really like fox's, so i based my sona on a fox, but it isnt quite a full fox"
deer,I find myself holding some similar personality traits that are often associated with those animals.
othercanine,"Its (Maned Wolf) behaviour and social interactions, being solitary but monogamous to its mate, is something that I could identify with. Also they're cute :P"
pandabear,happy nice animals with a silly cute face :3
otherfox,Made the character 18 years ago. 
othercanine,Same characteristics as myself. Well minus being tall. MANED WOLVES FTW!
lion,I thought they were the coolest thing ever when I was fifteen.
weasel,Its my spirit guide
wolf,"Canine Wolf: Its an animal that I am able relate to the most. Strong, loyal, a leader, and a team player but still independent that it can survive by itself. And I eat my food incredibly fast. Gota get on that trail."
wolf,"I have always loved wolves, and in recent years have discovered my wolf spirit, identifying myself as a therian."
tiger,I love tigers and associate with them very well.
otherfox,"I choose the Deer species because I can be timid, but once I open up, I can be real bubbly and bouncy!"
badger,No.
othercanine,"opossum, (Other Marsupial) I'm quiet, I know when to act, I'm pretty much up all night, I'll eat anything, I usually carry a backpack or pouch, my teeth are very sharp, I'm a pest, you get the idea 
"
dragon,"Dragons in classic and modern literature are viewed as benevolent, cruel, lazy, and intelligent."
redfox,I like the tail.
wolf,solitary creature but keeps family kinda close.
redfox,I see myself as a trickster akin to the mythological characters of both fox and coyote 
wolf,"Wolf- I am a therian and the characteristics of most wolves describe me

Dragon- idk, it just felt kinda right"
wolf,I believe that the wolf is my spirit guide.  
kitsune,I have a rather 3rd person view of the world and do not care about others  problems also    I enjoy toying ( mostly phycologically) with others and watching their reaction.
snowleopard,"Feline: Just feels natural and right
Donkey: its fun
Kangaroo: why not"
dragon,I respect and find dragons fascinating and majestic.
cheetah,It's my theriotype.
polarbear,"polar bears are my favorite animal and i'm a fat white canadian dude, polar bear made sense.

grew up with dogs, love dogs, want dogs, it made sense"
mouse,Cultural Reasons
otherfeline,"I feel the personality of others with the character aligns well with my own. I admire the characteristics of the animal - physical looks, hunting style, life style.  I also believe I have some characteristics in common - physical build, geographical region from which family lives"
otherfeline,"Trent Lyon
He is my main sona, i identify as him because he is a Lion-Lynx hybrid and is a male herm, i myself have a feminine and ""manly"" side, therefore i went male herm on FA.
The other two are just for fun :3"
other,"My personality, body-type, favorite animal from childhood. It's what I'd turn into if I were transformed."
arcticfox,"Everything from previous Role Playing characters, to just loving the animal."
tiger,Wolf- main fursona. Shep- Theriotype. Tiger- second fursona. Dragon- OC.
coyote,"In reality, I'm not all that large of a male, so I identify with the Red Wolf (The red wolf is said to have both wolf and coyote blood so that is why I had marked both) because this particular species is smaller and more graceful than that of the Grey Wolf. Mostly though, the wolf has meant a lot to me even long before I even knew about the fandom and I could find myself admiring its intellect, pack mentality, and its art of stealth... also, how can you not love that sharp stare and fluffy coat?"
raccoon,"The reason I identify with the raccoon is due to the inclusion of a character I crafted whose species happened to be the aforementioned animal, which became endeared to me following my character's creation. "
coyote,"Personality is in line with several perceived traits, plus I just like coyotes"
wolf,It's my favorite animal.
wolf,Respect for traits and behaviors.
badger,"My main furry persona is a honey badger, because I'm generally a big grump and I liked the simple color scheme."
