Species,Reason,Character status
horse,"It's me, I am a horse and so I have decided to choose tha animal which I am.",Primary character
"wolf, redfox, arcticfox, kitsune",Lovely furries,Primary character
"wolf, redfox, arcticfox, kitsune",Love them,Primary character
domesticcat,Adorable. And personality.,Secondary Character
domesticcat,Personality is similar to mine.,Primary character
cheetah,I usually perfer fast paced stuff. ,Primary character
"husky, dinosaur",It just felt the most like me!,Primary character
"germanshepherd, husky, otherdog",Same canine breed as my dog who I had a very close relationship with,Primary character
jackal,"Self-identification, and spiritual reasons.",Primary character
tiger,Torahiko Ooshima love.,Secondary Character
other,"Inuus, Faunus, Pan",Secondary Character
deer,Inner wildness,Secondary Character
wolf,Totem,Secondary Character
otherungulate,My Little Pony fandom,Secondary Character
dragon,Otherkin self-identification,Primary character
arcticfox,"Have always been an arctic type with cold paws... while I once thought I was a wolf or folf, finally settled on fox. I do not consider the former as separate characters but rather the evolution of my fox self which seems more fitting of my devious and slightly mischievous nature.",Primary character
"wolf, husky",it represents my family. The wolf being my strong mother and dominant while my father being more playful and fun like a husky ,Primary character
riverotter,Fits my personality most.,Primary character
lion,Because I like big cats.,Primary character
redfox,I just love foxes,Primary character
deer,I used to see deer daily growing up and have always thought they were beautiful,Secondary Character
riverotter,Dat rudder,Primary character
redpanda,Aesthetic reasons only. They are very cute.,Primary character
"wolf, arcticfox",Foxes and Wolves are my favorite animals. I feel they both represent me so well.,Primary character
arcticfox,She is amazing. She is adorable. My Fox sona is amazing.,Primary character
"otherdog, other",In Memory of my last 2 Dogs,Primary character
wolf,This character evolved out of my fascination/close ties with werewolves.,Secondary Character
dragon,My Otherkin identity is a Dragon.,Primary character
dinosaur,I love dinosaurs and there doesn't seem to be very many.,Primary character
"leopard, domesticcat, otherfeline","Honestly, it was an avatar mod in Second Life someone had made of their own creativity that I ended up changing up a bit, but it eventually became something that represented me as time went on of me using it. And now, that's how everyone recognizes me in world and other online places.",Primary character
tiger,I think they are cute,Primary character
tiger,It's the species I feel the most affinity for,Primary character
wolf,"I respect, admire and feel a connection with wolves.",Primary character
"husky, otherreptile, other","eh idk, i just kinda found it fitting, and minor stuff, i do not really mind the cold, huskys do not mind the cold. really i did not have a lot of reasons to pick it but i just liked the idea.
",Primary character
lizard,Character in Skyrim.,Secondary Character
kitsune,Kitsunes aren't that furry.,Primary character
domesticcat,CAUSE I FUCKING LOVE CATS OKAY,Primary character
tiger,I was born a Tiger and I was a Tiger in a previous life,Primary character
raccoon,"Imposed cultural/ anthropological stereotypes associated with the species. It's not about an idealized version of myself, it's about traits I find in my own personality. In western culture raccoons are sly, clever problem solvers. They're urban dwelling survivors. They're disease ridden vermin and thieves. These traits are metaphorical. The character I use as my avatar is an exaggerated, cartoon version of myself.",Primary character
"weasel, othermustelid",Live like there is no tomorrow,Primary character
greyfox,I like canids!  They're cool and fascinating from ecological and morphological perspectives.  I read a whole bunch of books on canids and decided gray foxes were the coolest.,Primary character
deer,Personal history.,Primary character
tiger,Calvin and Hobbes,Primary character
skunk,cute/reflects personality,Primary character
"cheetah, otherfeline","Always liked Cheetahs, also I came from Jaguar country. Beutifull ",Primary character
brownbear,"Bear's are my favorite animal. I always felt like if I were a cartoon character, I would be a bear.",Primary character
"pandabear, otherbear",I identify best with this character,Primary character
otherfox,Because it's adorable and it perfectly fits my personality!,Primary character
wolf,Favorite Animal,Primary character
otherdog,As my specy is a Belgian Shepherd (Malinois) it represents my nationality and the country I love.,Primary character
other,Because i luve Reptile,Primary character
rabbit,He is a Swedish White Rabbit because I've always felt that rabbits related to Scandinavian culture for some odd unknown reason ,Primary character
bat,Because bat just worked with the Russian name culture and lifestyle.,Secondary Character
kangaroo,He's Australian ,Secondary Character
mouse,Small cute kinky blonde and blue eyed worked with his Icelandic roots I gave him and there aren't many mice in the fandom.,Secondary Character
husky,A German hockey player husky.,Secondary Character
otherfeline,I like the look of it,Primary character
germanshepherd,I strongly identify with the breed and love them a lot ^^,Primary character
germanshepherd,I admire the breed greatly and see a lot of their personality traits in me.,Primary character
arcticfox,"Shares a lot of traits with me-intelligence, quick wit, trickster...I also enjoy the connotations with Native American and other folklore involving foxes.

I chose an arctic fox because I wanted to be different. You can't throw a stone in this fandom without hitting a red fox.",Primary character
redfox,Foxes are a amazing creatures. I think foxes are truly some of the most beautiful animals on this planet. ,Primary character
husky,I've always wanted an Alaskan Husky.,Primary character
"wolf, redfox",My personality is very much like wolves and foxes.,Primary character
redfox,My second fursona.,Secondary Character
redpanda,My third fursona,Secondary Character
redfox,it fits my own personality,Primary character
othermusteloid,I think it looks cool and I have not seen another.,Primary character
"domesticcat, bat",I feel that these animals fit my personality the best out of any other animals.,Primary character
"husky, mouse",I possess qualities of both of these animals,Primary character
husky,Husky dogs are special to me love their looks and they all just have a great outlooks on life,Primary character
husky,Just something fun I came up with,Primary character
domesticcat,Tribute to my cat,Secondary Character
jackal,The animal has a very deep meaning to me,Primary character
"jackal, othermusteloid, otherungulate",Different attributes that I like about the different species. Combined to represent a unique side of myself.,Primary character
"kitsune, snowleopard",They were my first fursona. Two of my favorite animals at the time.,Secondary Character
"othercanine, other",I bought a premade fursuit that was canine.,Secondary Character
otherfeline,They look goofy. I act goofy. Its perfect.,Primary character
wolf,"Werewolf horror movies and werewolves, in general, were what caused me to be interested in the fandom in the first place.",Secondary Character
"wolf, hyaena",I feel connected to wolves given my heritage and hyena describes a big part of my personality,Primary character
domesticcat,I feel cats occupy the more sensual side of my personality and desire to portray it as such.,Secondary Character
raccoon,Raccoons are my favorite animal and I've identified with them personally since I was very young.,Primary character
raven,"Another main fursona to go along with my Flitdraak, I chose a Rook for this character because, well, I just like them.",Primary character
other,"I chose a Flitdraak for my primary because they are an original species, and I feel they are a good representation of my best and worst attributes all in one. Plus, Flitdraaks are aliens, and that kinda ties into me viewing myself as just a person who seems outta place in a lot of places.",Primary character
domesticcat,Growing up I always felt an emotional connection in my relationship with my cats.,Primary character
hyaena,"Gross animal with bad reputation. Not really bound to only one gender at the same, such as me. I also likes the overall physical shape of the hyena : it's weird and not really .. beautiful, which suits me a lot. I highly bound with this specie !",Primary character
leopard,I love felines and I find leopards really awesome.,Primary character
skunk,"I chose this species as a teenager after becoming a big fan of the web comic Sabrina Online. I liked the monochromatic colours, the stripes, their fluffy nature, and how anthropomorphic skunks were drawn by furry artists. Additionally it seemed like there would be no expectations or preconceived ideas of how a skunk should act in online roleplaying at the time, compared to large, powerful creatures like wolves or tigers or whatever.",Primary character
"otherfox, domesticcat",It is what I identify as.,Primary character
otherdog,Character for a DnD campaign ,Primary character
"wolf, kitsune",I like wolves and foxes.,Primary character
"wolf, redfox, arcticfox, fennec, germanshepherd, tiger, lion, leopard, snowleopard, panther, cheetah, cougar, domesticcat, dragon, horse, deer, brownbear, grizzlybear, polarbear, mouse, rat, raven, raptor, otherbird, rabbit, bat, griffin, other",cause i love gothic but also cute things,Primary character
"othercanine, otherfeline, otherungulate",To add variety to my character in a sense of originality and my personal interests.,Primary character
dragon,"Strenght, Power, and Classy",Primary character
deer,design,Primary character
"coyote, raccoon, other","Coyotes represent illusion as psychedelics do, racoons are cute, limulideas have blue blood, and I love mushrooms.",Primary character
dragon,"I always loved and admired Dragons, so it's kinda obvious",Primary character
dragon,"Because it's myself, since i'm a  dragonkin",Primary character
raven,"Representative of my spiritual beliefs, self-identifying with behavioral traits, aesthetic appeal.",Primary character
other,"i love it , it's cute",Primary character
"wolf, other","This is actually a long story, but I'll try to make it short here. Few years ago, in august 2010, I met this girl on skype. She was a fan of vampires, and I was fan of werewolves. We played the game ""Les Loups-Garous de Thiercelieux"", which is quite the equivalent of ""Ultimate Werewolf"" in america. Since I know this game, I am a fan of the werewolves, the lycanthropes, and the wolves in general. I made a lot of roleplay with that girl, she became my girlfriend (it was a long-distance relationship as she was in Quebec, Canada, and I am in France), and I even came to her house for 3 months. After that, we broke up, but we are still friends. We made a forum called ""Lycampire"". It a RPG forum where there are, you got that, lycanthropes and vampires There are also humans and ""Lycampires"" (mix between the two species, there is just one as it is too powerful). Anyway. This forum was created because we made a lot of roleplay in Windows Live Messenger, or Skype. In one of these RP, there was this character, Elian. He was the bad guy. Once the story of this RP has been finished, I took this name for my new character. Elian Wonhalf was born. The first Werewolf, and so the first Lycanthrope. His name, Wonhalf comes from three words. Won, because the reason of the war in his story is because he won a battle against his brother. Half, because he is half human, half wolf. Also, if you remove the letter ""n"", ""h"", and ""a"", you got wolf. Where I live, if you compare a human with a wolf, it kinda means he is alone, and he is made to live alone. I am not saying that I would love to live my entire life alone, but I kinda like being alone. Also, wolves are seen as silent, wise, and old creatures. This is my model. I love silence, and I really want to be ""wise"" (even if it's weird to write). But I couldn't say I am not human at all. So I decided to keep a half of humanity in this character. I really loved Elian. As soon as I found about the furry community, I chose Elian as my main charac",Primary character
dragon,'Cause dragon's rules,Primary character
"otherfox, other","I have a thing for demons, and I love the lore behind imps. As a furry, I see myself as a fox, so I combined the two :3",Primary character
"domesticcat, other",Because.,Primary character
"otherfeline, other","After I made my skyrim khajiit I really began to identify and relate to him and think of him as me and as a character, not just how he looks but his character",Primary character
deer,I find a shy and graceful personality of a deer to be relatable to me. I also make mine a mix of a fallow deer and chinese water deer because i admire the antlers of a fallow deer and the fangs of a chinese water deer. ,Secondary Character
pandabear,People used to call me Panda in school.,Primary character
domesticcat,"It was one of the first characters I've made for a game, and chose it as an avatar in the meantime.",Secondary Character
domesticcat,"Just felt right, I always loved cats and wanted to be one.",Primary character
wolf,I just really like wolves and have always loved the idea of a anthro wolf character,Primary character
raccoon,"I enjoy taking the virtues, and stereotypical personified characteristics of this raccoons in an effort to better myself and grow spiritually.",Primary character
redpanda,"We have very similar appearance and behavior, and this is my favorite animal.",Primary character
weasel,"He came to me, pretty much fully formed one day while driving to work.  A few ferret characters from comics had shared personality traits that I saw in myself, and so the character just happened.",Primary character
"wolf, dragon","I choose Dragon and Wolf because, I have fallen in love with both of those species",Primary character
seaotter,"I dont know, i was drawing random things and that little otter just kind of happened it went from a silly little otter to it representing the shy part of me",Secondary Character
wolf,"I have all ways loved wolves they have been my favorite animals for a very long time, ",Primary character
"wolf, raptor","I have always connected with wolves since I was a child.  The 'bird of prey' is a Snowy Owl, something I have recently found a somewhat 'kinship' to, in terms of connection.",Primary character
wolf,The species' caracteristics reflects my personality,Primary character
kangaroo,"Playful and fun, exactly what I'm not :D",Deprecated character
domesticcat,I've been living with domestic cats for all my life. My mother is found of cats. Those facts helped me a lot in choosing the cat specie,Primary character
hyaena,She's a mutant hyena. I've had her for 13 years,Primary character
germanshepherd,Always loved this type of dog. ,Primary character
snowleopard,I like them,Primary character
other,i find it very cool and I feel its a good representation of me personality-wise.,Primary character
"snowleopard, domesticcat","This represents me more for how I want to be seen in the NSFW spaces of the fandom, as I want to keep that separate.",Secondary Character
"otherfox, domesticcat, hyaena",In several tests i got it as a result (personality) therefore i chose this as a mix for my persona.,Primary character
otherfox,So cute and represents my soul good,Primary character
redfox,I have always liked foxes.,Primary character
"collie, otherdog, bat, other",Amalgamation of many things.,Primary character
other,Generation 4 of MLP was like a breath of fresh air for those that still believe that there are fandoms that can accept you for who you are. I created this character so I can be involved within the Brony community as well.,Secondary Character
"otherfeline, other","I am a total fan of Sonic the Hedgehog. I wanted to originally wanted a picture of my anthropomorphic character to fight one of the main characters until the artist decides to draw me Sonic-style. When I saw the result, there was no way to ignore the awesome look of my character.",Primary character
domesticcat,"I simply grew a love for felines  before I discovered the furry fandom,",Primary character
wolf,Personality,Primary character
arcticfox,"I resonate with characteristics often ascribed to foxes: playful, devious, resourceful, etc. Plus they're adorable :D",Primary character
husky,I feel it is my closest equal,Primary character
"wolf, husky",I love knots,Primary character
other,"Unique, had interesting traits, would make for a fun suit someday.",Primary character
"jackal, otherdog","I enjoy canines/dogs, I wanted to represent the other side of my personality, and again, the character would make for a fun suit someday.",Secondary Character
otherdog,I identify with the calm attitude and intelligence. ,Primary character
greyfox,This is a character that I play in tabletop games with friends.  ,Secondary Character
domesticcat,"More practical for fursuiting than my ""me"" character, a salamander, would be. And I like cats!",Secondary Character
domesticcat,"Closes thing I could think of, at the time, to a Mewtwo. ",Primary character
fennec,Because it has large ears,Primary character
dragon,"Dragons have caught my interest when I was very young, I love them",Secondary Character
redfox,"I identify with foxes, and I adore them",Primary character
otherdog,Tribute to my pet malamute,Secondary Character
fennec,Cute and bubbly like me,Primary character
weasel,I feel my own wiry body is similar to one of a weasel and I like how they turn white in the winter and brown in the fall. ,Primary character
"coyote, jackal, other","I found the fandom at a time that I was identifying with Lucario as a playable character in a game (Smash Brothers Brawl).

I have stuck with the species (coyote-type canid) because of metaphorical connections like being a wanderer and survivor. As well as growing up in an area where coyotes actually lived.",Primary character
"greyfox, dragon",I've always had an interest in dragons and foxes are my favorite animal so I decided to make a hybrid.,Primary character
otherdog,"I've always been a dog person, and I think a dog's personality describes me well",Primary character
"wolf, other",to create something i have not seen in furry culture,Primary character
dragon,"I have always felt an affinity for Dragons, I admire many of their attributes, I find them to be beautiful, majestic, and powerful beings, and I love stories that feature Dragons.",Primary character
dragon,Ive always wanted to be a dragon tamer,Secondary Character
raptor,"It started as an in-joke with the girl I was dating at the time, but then it kind of spiraled off into its own persona.",Secondary Character
"lion, leopard","I'm a Leo, and I've always like lions, but I really like Leopard spots.",Primary character
"deer, otherungulate, raven","I love elk and crows, and I've always strongly identified with them. ",Primary character
wolf,"Originally he was just a character I made up for a story I used to write. So there's not really a ""link"" between myself and him (like believing a wolf is a kind of totem or an animal I can relate to). just need to use a proper ""avatar"" to represent myself in the furdom",Primary character
other,have you seen it???,Primary character
other,to many other choices,Primary character
tiger,I liked tigers and decided to make my character that.,Primary character
arcticfox,"Just feels right, always liked arctic camouflage",Primary character
otherdog,Matches my personality the best.,Primary character
coyote,I am a coyote therian and have a strong personal connection to them.  They are most similar to my personality.,Primary character
redpanda,Because they are my favourite animal,Primary character
"greyfox, arcticfox",Foxes are amazing.,Primary character
husky,I feel as though the qualities of a husky best represent my own personality,Primary character
tiger,tigers are majestic ,Primary character
wolf,I REALLY love wolves,Primary character
wolf,I REALLY love wolves,Primary character
wolf,Because I identify strongly with this species and feel closely attached to them,Primary character
koala,Because I think koalas are cute and I had character traits in mind which fit with the koala when creating this character,Secondary Character
wolf,"aesthetics, and i like the sense of loyalty that follows canines, plus wolves are often represented as the ""bad guy"" which helps me identify as a character presented as a monster but who is not. ",Primary character
dragon,I've always wanted to be something mythical. Always had people telling me that they couldn't believe I actually exist.,Primary character
domesticcat,I feel that this is the best animal suited for my personality and my friends agree.,Primary character
otherdog,"I dont really know, i just like dogs",Primary character
cougar,too long a story for here. it just fits,Primary character
wolf,I REALLY love wolves,Primary character
husky,It suits my real life characteristics.,Primary character
domesticcat,Fantastic,Primary character
"wolf, husky",They are my favorite animals and I feel I can connect with them in a way. ,Primary character
pandabear,I've always had an affinity to bears; pandas in general. It made sense to put that passion into a character.,Primary character
husky,"Again, I love huskies. ",Secondary Character
dragon,"Dragons were a big part of my life, another affinity of mine. ",Secondary Character
dragon,I really like Dragons too.,Secondary Character
otherbear,"Bears really appeal to me, especially werebears as written by a couple of authors on a new favorite website.",Primary character
wolf,Like a wolf without a pack I've been forced to live alone a lot.,Secondary Character
domesticcat,"Role Play, also because I know the species pretty well",Deprecated character
riverotter,I want to be more like this species.,Primary character
other,Role Play,Secondary Character
"wolf, otherbear","They're large, in charge, and take no shit",Primary character
domesticcat,"Because I like cats, and I think that they fit my personnality, and appearance :)",Primary character
dragon,"I've always had a lvoe for dragons, large magnificent creatures",Primary character
lion,"It feels right, I admire lions, I have always found them to be more appealing than any other animal.",Primary character
"wolf, otherdog",This is what I think I looked like. ,Primary character
"tiger, other",I love white tigers,Primary character
"wolf, snowleopard","Fell in love with the design 10 years ago, made slight, tiny, adjustments over the years, but it's still the same.",Primary character
"wolf, snowleopard",this character was poorly made when I became a furry,Deprecated character
jackal,because the species fits my personality ,Primary character
"dragon, other","Early influence by the type of artwork I first discovered online shaped my feelings of flight, fur and cat-like characteristics. ",Primary character
wolf,"I feel that I identify with wolves the most; the pack mentality, loyalty, etc.",Primary character
other,I am sly and sneaky and demented  but cuddly and cute ,Primary character
"redfox, husky",the animal characteristics (including style of fursuits) and how the fursonas are perceived in the fandom,Primary character
arcticfox,i relate to their behavior. ,Primary character
hyaena,I LOVE HYENAS <3,Primary character
riverotter,I was a swimmer.,Primary character
redpanda,Wanted to express a different side of myself.,Secondary Character
otherungulate,Wanted to have a character that I could use in a sexually explicit way.,Secondary Character
otherungulate,I thought it was a cool species.,Secondary Character
fennec,"The ears and the size, I see myself smaller than everyone around me and I get called extremely cute",Primary character
"wolf, othercanine, leopard, dinosaur, otherreptile, redpanda, rat, kangaroo",some of them are just because they are cool and interesting to me. Some of them represents me well.,Primary character
"wolf, deer",I belive these two animals define and represent me ,Primary character
cheetah,"Fits my body type (slim, I'm also a good sprinter) and a cheetah was the mascot for our high school.",Primary character
wolf,I had many personally traits that are similar to the personality to this animal,Primary character
hyaena,Got a head in a charity auction and ran with it,Secondary Character
lion,"Symbolism of leadership, loyalty, and laziness. ",Primary character
"wolf, otherdog, dragon, other","My favorite 3 animals, plus I identify with the characteristics of the 3",Primary character
redfox,"I really like foxes, and I'm mischievous. ",Primary character
lizard,[lenny face],Primary character
,Soft  and reflective skin,Deprecated character
other,personal reasons,Secondary Character
otherreptile,"I love dragons, but wings would be impractical in a spaceship.",Primary character
fennec,Similar to myself in energy/size,Primary character
"redfox, arcticfox",I'm also sly and sarcastic. So...,Secondary Character
wolf,"I consider myself as a runner with the pack, but I function just as, if not better, alone. I am intelligent, fast, and creative. ",Primary character
other,it always felt like beeing one,Primary character
"otherungulate, hyaena, other","Combining aspects from both species that inspire me, my character represents the goals I strive for: bravery, dedication, drive, practicality, resourcefulness, and gnarly visages",Primary character
wolf,"I always loved wolves, so I based my fursona on one",Primary character
othercanine,"He was originally a Fox/Wolf hybrid, however I decided to model him a bit into an original species similar to a Fox/Wolf.",Primary character
domesticcat,Fits my personality the best; my pet name is kitten,Primary character
husky,"They're really freaking cute, and that tail is really adorable as well. Generally, the facial markings on them are really nice, and the overall shape of a husky and behavior appeal to me and almost match me.",Primary character
redpanda,They act like me and are cute,Primary character
otherfeline,suits my personality,Primary character
husky,The husky is easily one of the most graceful and cute domesticated canines,Secondary Character
wolf,The wolf displays both beauty and strength.,Primary character
other,I like their design,Primary character
redpanda,"Wanted something more ""unique"" than wolf or fox; also, being Asian.",Primary character
othermustelid,Spiritual identification.  I am a marten therian.,Primary character
otherdog,"I got ""dog"" in multiple online quizzes, so I chose one that has long legs like myself, and has a beautiful pattern because I am an artist",Primary character
brownbear,"I'm big, a little hairy, and like to sleep.",Primary character
lion,my birth sign,Secondary Character
raccoon,my suit,Secondary Character
arcticfox,Graceful,Primary character
dragon,Dragons are awesome and can fly.,Primary character
tiger,"This is what I am...
Technically I identify as a sivaoan (felinoid species in. Startrek) But i've always identified this way, there's no real reason.",Primary character
other,Renamon is my favorite character from the Digimon series.,Primary character
raccoon,"I have grown up around the species and have always been fascinated with their social behavior and physical attributes. To put it simply, they're my favorite animal.",Primary character
husky,I feel like I could identify my furry self with this one.,Primary character
"arcticfox, otherfox","This animal represents me the most, and people accept me as one.",Primary character
dragon,"Identify with most attributes of dragons, like hoarding and guarding",Primary character
wolf,To have a character that would look good as a fursuit if I ever get one,Secondary Character
"wolf, snowleopard",I identify as these species due to the characteristics these species naturally hold as compared to my personality ,Primary character
otherfox,I like foxes and the coloration of island foxes.,Primary character
redpanda,Cool looking.,Deprecated character
raccoon,Favorite animal.,Deprecated character
"fennec, tiger, other",I felt she represents me best as this hybrid.  ,Primary character
other,I liked orcas and wanted to make an orca character.,Secondary Character
dragon,"I long had an affinity for reptilian species, and the first character I created for a MUD was a ""half dragon"". This character became my primary character.",Primary character
otherdog,"I wanted to make a canine character, and a character suitable for the S.T.A.L.K.E.R. video game universe.",Secondary Character
,I was inspired by furry artwork to create a skunk character.,Secondary Character
riverotter,I like otters and just wanted to make an otter character.,Secondary Character
othermusteloid,That specific breed of otter appealed to me because of various aspects or differences from the average otters that I shared. I also have personal life experience with those creatures and already felt strongly towards them.,Primary character
raccoon,"I don't know, just seemed to fit.",Primary character
,Love of the ocean and diving,Primary character
,Portrays confidence and neo-epicureanism I wish to embody,Secondary Character
dragon,Strong affinity for dragons since childhood.,Deprecated character
"redpanda, pandabear",Based on WoW character.,Primary character
"wolf, griffin",I love wolves and I love the idea of flying and the sense of freedom. ,Primary character
wolf,"I absolutely adore wolves, so it only made sense to have a wolf as my primary character and fursona.",Primary character
wolf,"Because my spirit is a timber wolf, and I'm not a character. Why do humans pick humans in RPG games? ",Primary character
wolf,I cannot remember.,Primary character
redfox,I have always had a liking for foxes.,Primary character
dragon,Just always loved them.,Primary character
redfox,"easy to start with, cute, fuzzy, big ears",Primary character
redfox,Foxes are cool,Deprecated character
husky,Friends with another husky/Friendly,Primary character
domesticcat,I like cats!:),Primary character
collie,i like collies,Primary character
husky,"husky's are some of my favorite dogs
",Primary character
wolf,my first fursona ,Deprecated character
wolf,"I love wolf.
They are cool and cute and i feel like im
One of them",Primary character
rat,Felt a connection to this species,Primary character
hyaena,"scavenger, dominant, ideal characteristics",Secondary Character
raccoon,"scavenger, mischievous, common",Secondary Character
"otherdog, dragon","Love dogs, Love dragons. Obvious choice. combine the two",Primary character
wolf,"I wanted a second fursona, and a red wolf was something I had always thought about.",Secondary Character
redfox,"The fox is my favorite animal, and foxes are adorable and cuddly.",Primary character
domesticcat,I feel like I understand them well and have some psychological traits in common with them. Cats have been a part of my life since I was a baby.,Primary character
dragon,Dragons are awesome powerful creatures and I choose it to represent my confidence. ,Secondary Character
wolf,I've always liked the way wolves have looked and thought they were just generally cool.,Primary character
weasel,I just feel connected with the species on a spiritual level.,Primary character
"redfox, rabbit",An interesting mix for a female hybrid character,Secondary Character
redfox,It was a species I felt I shared several traits with above others,Primary character
tiger,The species I feel like ,Primary character
"redfox, other",Fox characteristics and cuteness. Hedgehog characteristics of defensive and shy.,Primary character
"tiger, domesticcat, otherfeline","I like felines more than any other species and enjoy playing as them. I find it fun when I roleplay as my character, with his long tail and pointy ears.",Primary character
,I am really into Pokemon and that is how I discovered the furry community,Deprecated character
greyfox,"Researched the Santa Rosa Island fox which is a sub-species of the Grey Fox. I liked he look and I consider myself symbolicly like a fox: Slender, sly, clever, smart, and slightly feminine",Primary character
wolf,Cause wuffys are awesome!,Primary character
redpanda,Because red pandas have playful personalities and a cute side to them that I can relate to,Secondary Character
otherbear,The personality traits of bears is something I can relate to,Primary character
otherfeline,"I am a cat, but more wild. I like lynxes. When I was wiccan, a shaman helped me find my spirit animals: the lynx and the cougar.",Primary character
domesticcat,"I'm very similar to a cat and since my nick name is ""Kit-Kat"", I though a cat would make the name pretty ironic and funny. ",Primary character
dragon,"When I watched the movie Dragonheart I cried and it set things in motion. WIth time I at least related to dragons very much, or even identified as one.",Primary character
otherdog,bought a 2nd hand fursuit of this species and changed fursona from wolf to dog as I became more attached to the species over time,Primary character
weasel,"Weasels are cute, and have the perfect blend of playful and mischievous- plus they're super skinny like me.",Primary character
"wolf, bat",It started as a joke character and then it evolved into an avatar of dominance.,Secondary Character
redfox,Spirit animal connection. ,Primary character
"arcticfox, lion, kangaroo",My favorite + I identify with these species.,Primary character
"coyote, deer, raptor, other","I've always been attracted to deers, many say I have the ""heart"" of a fox, and I like the mystical theme of Perytons (+wings) ",Primary character
othercanine,"I like dogs.
Their upfront honest expression of feelings
Their propesity to be unusually smart and stupid.",Primary character
mouse,"northern grasshopper mouse: We're both desert natives, nocturnal, though, smallish, and can fight off things twice our size.",Primary character
"snowleopard, dragon","Because I feel a strong connection to the snow leopard, as well as the Eastern dragon. I feel like they fit my personality really well.",Primary character
wolf,Always loved wolfs,Primary character
mouse,"I've always been a quiet wallflower who keeps an exit path planned, I'm physically unimposing but stronger than anyone expects, socially awkward, and my childhood crush kept various rodents",Primary character
wolf,I love the animal itself the wolf is an amazing animal,Primary character
"deer, rabbit, other","They have attributes that I can I identify with, especially being otherkin. ",Primary character
"otherbear, other",I have this character so I can feel more open to express my femininity and I can feel comfortable to draw my actual body type.,Secondary Character
lion,"I feel like I identify with a lion the most. I honestly waver between having a spiritual connection with and not, as I very rarely feel spiritual. I just feel like the connection to this species is more than listing it as nothing.",Primary character
"redfox, arcticfox",I love foxs,Primary character
"coyote, raven","I deducted it was the one that most fit my personality of what I am, and want to be.",Primary character
raccoon,I wanted to pick a fursona that matched my personality. I went of how the animal behaves and acts in it's natural habitat. Otter was a second close.,Primary character
"skunk, horse, other","I've always felt like I was a skunk, but I also fell in love with the My Little Pony: Friendship is Magic characters, so I chose to hybridize as a pony with a skunk tail and stripe.",Primary character
other,Lilo & Stitch is one of my favorite movies and I just had to have a Stitch like Experiment character of my own.,Deprecated character
"wolf, husky",canine affinity,Primary character
coyote,I chose Coyote because i love coyotes and i live in the desert,Primary character
husky,I feel a strong personal connection to dogs and love the winter weather.,Primary character
riverotter,They're so cute and fun! :03,Primary character
deer,Deer are Cute,Primary character
otherbear,"Ideal traits, suits my personality, fetishes.",Primary character
lion,I just completely love lions and how fluffy they are,Primary character
wolf,"I know wolves aren't original, but I mean, they're liked for a good reason; they are fascinating in both a terrifying and majestic-y way. ",Primary character
other,"I like Pokemon, and Goodra's design really appeals to me. It archetypically shares character traits with the ideal me as well.",Primary character
"fennec, dragon","He evolved from a D&D campaign, and I didn't have a sona at the time, so I kept him around until I discovered Goodra.",Deprecated character
other,"Wanted a side character to work on fleshing out character personality and traits, and ended up liking him a lot.",Secondary Character
"wolf, arcticfox, other","Elegance, love for the night, Mostly alone, Sly ",Primary character
otherreptile,I like crocodiles.,Primary character
wolf,Female counterpart,Primary character
wolf,Favorite animal,Secondary Character
cougar,I like thm.,Secondary Character
wolf,It is what I found to be like me and cool.,Primary character
dragon,I like dragons.,Primary character
domesticcat,"Because I absolutely adore cats, and it's the animal I feel the most strongly for! ^.^",Primary character
cheetah,"Cheetahs are cool, and I really like their patterns. The actual species was fun to design and draw.",Secondary Character
"snowleopard, raccoon","I love the fact that snow leopards are so goddamn fluffy and use their tails as scarves. I love the way they look, and I've always liked cats. The raccoon part is a bit harder to explain. When I was younger my stepmother used to keep food from me. Eventually, I resorted to eating out of the trash can when no one was home. I figure it was a big part of my life that I still struggle with to this day, so I might as well put it in with this representation of me.",Primary character
wolf,"Honestly, I just think wolves (and canines in general) are cute.",Primary character
wolf,I admire the animal's qualities.,Primary character
otherfeline,"I absolutely love feline animals, and I feel like it's the animal I connect with the best. ^.^",Primary character
cheetah,"I like cheetahs a lot, and I felt like it was a cool thing to draw, so that's why I chose it. ",Secondary Character
deer,"I've always loved deer. Primarily their antlers, facial anatomy, and tails. The tails are important to me because they accentuate the butt (my only redeeming physical quality)",Primary character
husky,I just like Huskies,Primary character
"germanshepherd, leopard",I love the idea of hybrid animals.,Primary character
dragon,Primarily prior interest in the species. And because I recently figured out that you can add fluff to dragons.,Primary character
domesticcat,I feel myself to have a lot in common with these; more so than with humans. ,Primary character
rabbit,I like bunnies and feel like I have some similar characteristics to them,Primary character
domesticcat,Idk,Secondary Character
domesticcat,The base colors and general species of this character are similar to an older Cheetah character that I no longer identify with. It reflects that I've grown to be a less self-aggrandizing individual.,Primary character
lion,"It ""feels"" right.",Primary character
dragon,It Represents me perfectly from the inside out.,Primary character
"deer, other","I just had several people tell me I should identify as one, and so I did. I like drawing antlers, too.",Primary character
"arcticfox, kitsune",My love of snow and a love of foxes.,Primary character
wolf,I liked wolves a lot.,Primary character
"othercanine, leopard","Ever since I was little, I've always loved leopards, and I grew up with dogs.  I love the agility of leopards and the playfulness of canines. ",Primary character
